id,text,title,venue,year,doi,authors
10.1109/ccgrid49817.2020.00-93,"Human-centric Software Engineering for Next Generation Cloud- and Edge-based Smart Living Applications.. Humans are a key part of software development, including customers, designers, coders, testers and end users. In this keynote talk I explain why incorporating human-centric issues into software engineering for next-generation applications is critical. I use several examples from our recent and current work on handling human-centric issues when engineering various ‘smart living’ cloud- and edge-based software systems. This includes using human-centric, domain-specific visual models for non-technical experts to specify and generate data analysis applications; personality impact on aspects of software activites; incorporating end user emotions into software requirements engineering for smart homes; incorporating human usage patterns into emerging edge computing applications; visualising smart city-related data; reporting diverse software usability defects; and human-centric security and privacy requirements for smart living systems. I assess the usefulness of these approaches, highlight some outstanding research challenges, and briefly discuss our current work on new human-centric approaches to software engineering for smart living applications",Human-centric Software Engineering for Next Generation Cloud- and Edge-based Smart Living Applications.,CCGRID,2020,10.1109/ccgrid49817.2020.00-93,John Grundy (Monash University)
10.1109/ccgrid49817.2020.00-92,"A Pattern-Based API for Mapping Applications to a Hierarchy of Multi-Core Devices.. Recent years have witnessed an evolution of Internet of Things (IoT) devices. This has lead to the emergence of (related) paradigms of Edge/Fog computing, where the goal is to exploit the power of interconnected heterogeneous devices together with distributed/cloud computing. In Edge/Fog computing, one of the challenges is automatically distributing the work between different devices to reduce application latency. At the same time, with increasing transistor density and the end of Denard scaling, even small edge devices have parallelism. Thus, we need a programming model that can help distribute the work between different devices and yet parallelize operations on each device.(p)(/p)Motivated by the popularity of MapReduce(-like) frame-works, we develop a pattern-based high-level programming API targeting computer vision applications for the Edge/Fog paradigm with parallelism within devices. Based on this API, parallelization, workload distribution, and optimizations that account for resource limitations of IoT devices, are implemented. Our evaluation with three image processing applications shows that while using a single device, we achieve 17-45% speedup over OpenCV, one of the most popular frameworks for image processing. In addition, we further gain benefits from distributing the work between multiple devices",A Pattern-Based API for Mapping Applications to a Hierarchy of Multi-Core Devices.,CCGRID,2020,10.1109/ccgrid49817.2020.00-92,Jia Guo (The Ohio State University); Radu Teodorescu (The Ohio State University); Gagan Agrawal (Augusta University)
10.1109/ccgrid49817.2020.00-91,"Reliability Management for Blockchain-Based Decentralized Multi-Cloud.. Blockchain-based decentralized multi-cloud has the potential to reduce cloud infrastructure costs and to enable geographically distributed providers of any size to monetize their computational resources. In this context, guarantees that the computational results are delivered within the promised time and budget must be provided despite the limited information available about the location and ownership of resources. Providers might claim to execute the services to get compensated for the computation even though returning incomplete or incorrect results. In this paper, we define a model to predict provider reliability, that is, the probability of failure-free execution of computational tasks and correctness of the computed outputs, by extracting the potential dependencies between providers from historical log traces. This model can then be utilized in the definition of provider reputation or the scheduling of new services. Indeed, we propose a probabilistic scheduler that chooses the providers that meet the reliability constraints among others. Finally, we validate the proposed solutions with real traces from a decentralized cloud provider and hint at the benefits of predicting reliability in this context",Reliability Management for Blockchain-Based Decentralized Multi-Cloud.,CCGRID,2020,10.1109/ccgrid49817.2020.00-91,Atakan Aral (TU Wien); Rafael Brundo Uriarte (TU Wien); Anthony Simonet-Boulogne; Ivona Brandić (TU Wien)
10.1109/ccgrid49817.2020.00-90,"Co-Utile Peer-to-Peer Decentralized Computing.. Outsourcing computation allows wielding huge computational power. Even though cloud computing is the most usual type of outsourcing, resorting to idle edge devices for decentralized computation is an increasingly attractive alternative. We tackle the problem of making peer honesty and thus computation correctness self-enforcing in decentralized computing with untrusted peers. To do so, we leverage the co-utility property, which characterizes a situation in which honest co-operation is the best rational option to take even for purely selfish agents; in particular, if a protocol is co-utile, it is self-enforcing. Reputation is a powerful incentive that can make a P2P protocol co-utile. We present a co-utile P2P decentralized computing protocol that builds on a decentralized reputation calculation, which is itself co-utile and therefore self-enforcing. In this protocol, peers are given a computational task including code and data and they are incentivized to compute it correctly. Based also on co-utile reputation, we then present a protocol for federated learning, whereby peers compute on their local private data and have no incentive to randomly attack or poison the model. Our experiments show the viability of our co-utile approach to obtain correct results in both decentralized computation and federated learning",Co-Utile Peer-to-Peer Decentralized Computing.,CCGRID,2020,10.1109/ccgrid49817.2020.00-90,Josep Domingo-Ferrer; Alberto Blanco-Justicia; David Sánchez; Najeeb Moharram Jebreel
10.1109/ccgrid49817.2020.00-89,"Performance Optimization for Edge-Cloud Serverless Platforms via Dynamic Task Placement.. We present a framework for performance optimization in serverless edge-cloud platforms using dynamic task placement. We focus on applications for smart edge devices, for example, smart cameras or speakers, that need to perform processing tasks on input data in real to near-real time. Our framework allows the user to specify cost and latency requirements for each application task, and for each input, it determines whether to execute the task on the edge device or in the cloud. Further, for cloud executions, the framework identifies the container resource configuration needed to satisfy the performance goals. We have evaluated our framework in simulation using measurements collected from serverless applications in AWS Lambda and AWS Greengrass. In addition, we have implemented a prototype of our framework that runs in these same platforms. In experiments with our prototype, our models can predict average end-to-end latency with less than 6% error, and we obtain almost three orders of magnitude reduction in end-to-end latency compared to edge-only execution",Performance Optimization for Edge-Cloud Serverless Platforms via Dynamic Task Placement.,CCGRID,2020,10.1109/ccgrid49817.2020.00-89,Anirban Das (Rensselaer Polytechnic Institute); Shigeru Imai (Rensselaer Polytechnic Institute); Stacy Patterson (Rensselaer Polytechnic Institute); Mike P. Wittie (Montana State University)
10.1109/ccgrid49817.2020.00-88,"NFV Placement in Resource-Scarce Edge Nodes.. Multi-access Edge Computing (MEC) is a new networking paradigm considered to be one of the enablers of 5G networks. In particular, it allows for network operators to provide low latency services by moving the service logic from centralized datacenters to small distributed locations at the edge of a network. However, computing and storage resources at these edge nodes are scarce and thus efficient resource allocation becomes an essential building block in any MEC orchestration solution.In this paper we address one particular challenge in this domain - how to place network functions at the edge nodes in a way that maximizes the customers benefit. Thus, we formulate the Capacitated MEC Allocation Problem (CMAP) and provide multiple algorithms with analytical performance guarantees for this problem. Furthermore, we use extensive simulations to evaluate the performance of our algorithms in realistic scenarios and show that they outperform both the analytical worst case guarantees, as well as currently used network function placement methods",NFV Placement in Resource-Scarce Edge Nodes.,CCGRID,2020,10.1109/ccgrid49817.2020.00-88,Yaron Fairstein (Technion – Israel Institute of Technology); Dor Harris (Technion – Israel Institute of Technology); Joseph Naor (Technion – Israel Institute of Technology); Danny Raz (Technion – Israel Institute of Technology)
10.1109/ccgrid49817.2020.00-87,"NAMB: A Quick and Flexible Stream Processing Application Prototype Generator.. The importance of Big Data is nowadays established, both in industry and research fields, especially stream processing for its capability to analyze continuous data streams and provide statistics in real-time. Several data stream processing (DSP) platforms exist like the Storm, Flink, Spark Streaming and Heron Apache projects, or industrial products such as Google MillWheel. Usually, each platform is tested and analyzed using either specifically crafted benchmarks or realistic applications. Unfortunately, these applications are only briefly described and their source code is generally not available. Hence, making quick evaluations often involves rewriting complete applications on different platforms. The lack of a generic prototype application also makes it difficult for a developer to quickly evaluate the impact of some design choices.To address these issues, we present NAMB (Not only A Micro-Benchmark), a generic application prototype generator for DSP platforms. Given a high-level description of a stream processing application and its workload, NAMB automatically generates the code for different platforms. It features a flexible architecture which makes it easy to support new platforms. We demonstrate the benefits of our proposal to quickly generate application prototypes as well as benchmarks used in published papers. Overall, our approach provides easily replicable, comparable and customizable prototypes for data stream platforms. Moreover, NAMB provides similar performance in terms of latency and throughput to existing benchmarks, while only requiring a simple high-level description",NAMB: A Quick and Flexible Stream Processing Application Prototype Generator.,CCGRID,2020,10.1109/ccgrid49817.2020.00-87,"Alessio Pagliari (Laboratoire d'Informatique, Signaux et Systèmes de Sophia Antipolis; Centre National de la Recherche Scientifique); Fabrice Huet (Centre National de la Recherche Scientifique; Laboratoire d'Informatique, Signaux et Systèmes de Sophia Antipolis); Guillaume Urvoy-Keller (Laboratoire d'Informatique, Signaux et Systèmes de Sophia Antipolis; Centre National de la Recherche Scientifique)"
10.1109/ccgrid49817.2020.00-86,"Merge, Split, and Cluster: Dynamic Deployment of Stream Processing Applications.. Stream Processing (SP) is now a major paradigm to timely handle large volumes of data generated at the edge of the Internet. Stream processing engines (SPE) are tools easing the specification, deployment and monitoring of SP applications. Such applications are typically programmed as a directed acyclic graph (DAG) of operators to be applied on each data item. Yet, SPEs are mostly equipped to deploy one application at a time without seeking synergies between those applications. Yet, in many domains, the set of operators composing applications overlap for a non-negligible amount. We envision a platform on which applications are submitted dynamically, each new graph of operators potentially sharing some of them with the currently running operators. We assume a homogeneous platform, a graph being deployed over multiple nodes. We need to minimize the inter-node traffic while guaranteeing that the capacity of a node is not exceeded. This paper presents the Merge, Split and Cluster approach: each time a new DAG of operators is submitted, i) its operators are first merged with the already running operators, ii) if an operator’s load thus created exceeds the nodes’ capacity, the operators gets split into several instances, and iii) the operators of the resulting graph are clustered, each cluster being hosted by a single node so as to maximize intra-node traffic. Two heuristics are proposed for this last phase. Simulation results show that i) merging allows to drastically reduce the needs in computing resources, and ii) that the heuristic provides an efficient clustering minimizing the intra-node traffic","Merge, Split, and Cluster: Dynamic Deployment of Stream Processing Applications.",CCGRID,2020,10.1109/ccgrid49817.2020.00-86,Aymen Jlassi (Institut de Recherche en Informatique et Systèmes Aléatoires; University of Rennes; Centre National de la Recherche Scientifique); Cédric Tedeschi (Institut de Recherche en Informatique et Systèmes Aléatoires; University of Rennes; Centre National de la Recherche Scientifique)
10.1109/ccgrid49817.2020.00-85,"Robustness-oriented k Edge Server Placement.. Mobile Edge Computing (MEC) is an emerging and prospective computing paradigm that supports low-latency content delivery. In a MEC environment, edge servers are attached to base stations or access points in closer proximity to end-users to reduce the end-to-end latency in their access to online content. From an edge infrastructure provider’s perspective, a cost-effective k edge server placement (kESP) places k edge servers within a particular geographic area to maximize their coverage. However, in the distributed MEC environment, edge servers are often subject to failures due to various reasons, e.g., software exceptions, hardware faults, cyberattacks, etc. End-users connected to a failed edge server have to access online content from the remote cloud if they are not covered by any other edge servers. This significantly jeopardizes end-users’ quality of experience. Thus, the robustness of an edge server network must be considered in edge server placement. In this paper, we formally model this Robustness-oriented k Edge Server Placement (RkESP) problem, and prove that finding the optimal solution to this problem is $\mathcal{N}\mathcal{P}$-hard. Thus, we firstly propose an integer programming based optimal approach, namely Opt, to find optimal solutions to small-scale RkESP problems. Then, we propose an approximate approach, namely Approx, for solving large-scale RkESP problems efficiently with an O(k)-approximation ratio. Finally, the performance of the two approaches is experimentally evaluated against five state-of-the-art approaches on a real-world dataset and a large-scale synthesized dataset",Robustness-oriented k Edge Server Placement.,CCGRID,2020,10.1109/ccgrid49817.2020.00-85,Guangming Cui; Qiang He; Xiaoyu Xia; Feifei Chen; Hai Jin; Yun Yang
10.1109/ccgrid49817.2020.00-84,"REDEMON: Resilient Decentralized Monitoring System for Edge Infrastructures.. The Guifi.net community network has evolved during the past 15 years into a telecommunications infrastructure that offers Internet access to more than 80.000 people. The monitoring system currently in place for this network is lagging behind the growth of the infrastructure, requiring manual intervention and counting several single points of failure. In this paper we present REDEMON, a resilient decentralized monitoring system, hosted on distributed and interconnected edge devices, for a reliable, eventually-consistent monitoring of the Guifi.net network, leveraging CRDT-based data structures implemented on AntidoteDB. We developed the REDEMON system as a prototype featuring resilience, decentralization and automation, in order to replace the legacy monitoring system. To assess the system, this prototype was deployed on resource-constraint edge nodes in the Guifi.net production network and evaluated under realistic conditions. The decentralized assignment mechanism successfully achieves setting the minimum number of monitoring servers per network device that satisfies the established system requirements. Besides, by concentrating the workload on the minimum required number of servers running at their maximum capacity, the remaining devices can idle away, reducing the consumption footprint of the system. With regard to computing resources, we measure a moderate CPU and RAM usage by the monitoring system on low-capacity devices, while we observe that a considerable network traffic is required for achieving a resilient and consistent data storage layer. This resilient and decentralized architecture could lay the basis for other edge applications in the cloud computing domain that need to coordinate over distributed and consistent shared data",REDEMON: Resilient Decentralized Monitoring System for Edge Infrastructures.,CCGRID,2020,10.1109/ccgrid49817.2020.00-84,Roger Pueyo Centelles (Universitat Politècnica de Catalunya); Mennan Selimi (Universitat Politècnica de Catalunya); Fèlix Freitag (Universitat Politècnica de Catalunya); Leandro Navarro (Universitat Politècnica de Catalunya)
